category_name,customer_state,segment_label,action_posture,action_sort,current_confidence,growth_confidence,prior_orders,current_orders,prior_gmv,current_gmv,gmv_change,gmv_growth_rate,contribution_to_market_change,current_active_sellers,current_local_active_sellers,current_top_seller_share,current_interstate_gmv_share,current_freight_burden,current_on_time_eligible_orders,current_on_time_rate,current_low_review_rate,current_average_review_score,current_review_coverage,observed_late_orders,excess_late_orders_to_peer_median_scenario,is_high_commercial_scale,passes_strong_execution,fails_execution_guardrail,has_supply_risk_signal
watches_gifts,RJ,watches_gifts × RJ,Fix before growth,1,high,medium,117,488,30526.15,100773.88,70247.73,2.3012312394455246,0.01662798438558851447,44,7,0.19208251185723919730,0.83140710668280312319,0.07473132249472285703,488,0.86680327868852459016,0.21161825726141078838,3.8402489626556017,0.98770491803278688525,65,32,t,f,t,f
bed_bath_table,RJ,bed_bath_table × RJ,Fix before growth,1,high,medium,318,646,33171.23,66362.41,33191.18,1.00060142478889085512,0.00785651611488738198,85,3,0.14378923248869352394,0.99077263770257891478,0.19945124110106440408,646,0.83591331269349845201,0.23584905660377358491,3.7106918238993711,0.98452012383900928793,106,63,t,f,t,t
bed_bath_table,MG,bed_bath_table × MG,Fix before growth,1,high,medium,286,554,34274.82,64342.58,30067.76,0.87725508113536409527,0.00711718718582967609,83,7,0.16500892566011496586,0.98157845084856715413,0.18948887065710871259,554,0.90433212996389891697,0.19230769230769230769,3.8260073260073260,0.98555956678700361011,53,16,t,f,t,t
office_furniture,SP,office_furniture × SP,Fix before growth,1,medium,medium,137,286,27502.57,60553.92,33051.35,1.2017549632634332,0.00782341766378245885,17,12,0.55126455892533464390,0.06174827327446348643,0.14269610919659756626,286,0.93006993006993006993,0.21126760563380281690,3.6901408450704225,0.99300699300699300699,20,1,t,f,t,t
sports_leisure,RJ,sports_leisure × RJ,Fix before growth,1,high,medium,207,456,29803.47,58815.48,29012.01,0.97344403185266682034,0.00686728595037217342,163,17,0.06448982478762393846,0.88604717669565903398,0.15075428691232286408,456,0.81359649122807017544,0.23725055432372505543,3.7649667405764967,0.98903508771929824561,85,55,t,f,t,f
computers_accessories,RJ,computers_accessories × RJ,Fix before growth,1,high,medium,186,490,31370.10,58321.85,26951.75,0.85915409896685059977,0.00637961224034264516,94,5,0.15378233029302054033,0.97238102014939512378,0.17738150162889375567,490,0.84489795918367346939,0.24223602484472049689,3.7681159420289855,0.98571428571428571429,76,43,t,f,t,t
stationery,SP,stationery × SP,Grow,2,high,medium,131,622,13510.43,55371.45,41861.02,3.0984224780410394,0.00990871003126803551,107,69,0.30211778813811088566,0.23024121636691833066,0.14882151683504556076,622,0.95337620578778135048,0.06634304207119741100,4.4288025889967638,0.99356913183279742765,29,0,f,t,f,t
housewares,MG,housewares × MG,Grow,2,medium,medium,163,397,13116.72,47202.62,34085.90,2.5986603358156612,0.00806830075461130980,151,25,0.09721917978281714024,0.78764971096943347636,0.19238053327643810308,397,0.94710327455919395466,0.11421319796954314721,4.2309644670050761,0.99244332493702770781,21,0,f,t,f,f
health_beauty,SP,health_beauty × SP,Defend,3,high,high,662,2442,72220.45,298148.40,225927.95,3.1283099177587512,0.05347826079032052166,311,211,0.08245568314302541956,0.38838115515629129655,0.11231582873674317038,2442,0.93366093366093366093,0.09423868312757201646,4.3271604938271605,0.99508599508599508600,162,0,t,t,f,f
sports_leisure,SP,sports_leisure × SP,Defend,3,high,high,685,1798,81007.11,211433.80,130426.69,1.6100647214793862,0.03087264121963789641,274,169,0.06042458679738055126,0.30289679322795125472,0.11996988563851461678,1798,0.95161290322580645161,0.09983268265476854434,4.2760736196319018,0.99721913236929922136,87,0,t,t,f,f
housewares,SP,housewares × SP,Defend,3,high,high,622,1615,51597.54,175150.87,123553.33,2.3945585390311244,0.02924568298544970739,282,186,0.04742197398163080777,0.32349402546501767305,0.16102304384980016018,1615,0.95232198142414860681,0.10398505603985056040,4.2864259028642590,0.99442724458204334365,77,0,t,t,f,f
furniture_decor,SP,furniture_decor × SP,Defend,3,high,high,759,1308,70153.94,147811.30,77657.36,1.10695650165906576309,0.01838188037543741386,181,119,0.17076617281628671150,0.29976476764631662126,0.16266441792971178824,1308,0.95565749235474006116,0.11384615384615384615,4.2200000000000000,0.99388379204892966361,58,0,t,t,f,f
auto,SP,auto × SP,Defend,3,high,medium,280,1024,48853.82,125032.54,76178.72,1.5593196192232255,0.01803187898988507500,192,127,0.09236075664782943704,0.25243508609838686793,0.11444567358874242012,1024,0.94531250000000000000,0.11350293542074363992,4.2534246575342466,0.99804687500000000000,56,0,t,t,f,f
baby,SP,baby × SP,Defend,3,high,medium,216,682,23391.78,99734.22,76342.44,3.2636438954196731,0.01807063232189464387,143,100,0.13009366293735490186,0.17558898039208608640,0.10967042863274445935,682,0.94721407624633431085,0.09882005899705014749,4.2743362831858407,0.99413489736070381232,36,0,t,t,f,f
health_beauty,MG,health_beauty × MG,Defend,3,high,medium,201,593,27652.98,99678.15,72025.17,2.6046078939774303,0.01704871320581260498,161,16,0.15668579322549625971,0.93254168541450658946,0.11407327126872430405,593,0.93760539629005059022,0.11186440677966101695,4.2796610169491525,0.99494097807757166948,37,0,t,t,f,f
cool_stuff,SP,cool_stuff × SP,Defend,3,high,medium,399,546,67562.87,82863.73,15300.86,0.22646847299411644295,0.00362178907654490583,112,72,0.17417596335574080481,0.24925537385295110418,0.09872507860240588023,546,0.94871794871794871795,0.10681399631675874770,4.2394106813996317,0.99450549450549450549,28,0,t,t,f,f
toys,SP,toys × SP,Defend,3,high,medium,366,645,41922.99,74597.14,32674.15,0.77938501046800335568,0.00773413256218210838,139,93,0.07975104675594801624,0.34295309444839306172,0.12089583441850686564,644,0.94720496894409937888,0.10625000000000000000,4.2734375000000000,0.99224806201550387597,34,0,t,t,f,f
watches_gifts,MG,watches_gifts × MG,Defend,3,medium,exploratory,73,394,17707.88,70598.35,52890.47,2.9868324158510223,0.01251943528006439151,33,3,0.18839958724247804658,0.94133573943300374584,0.08930783714070032574,394,0.93654822335025380711,0.12307692307692307692,4.2025641025641026,0.98984771573604060914,25,0,t,t,f,f
garden_tools,SP,garden_tools × SP,Defend,3,high,medium,307,580,40529.19,69785.83,29256.64,0.72186589467985913363,0.00692519107869797866,103,65,0.23769696512888074843,0.35832718475942752275,0.15065529660563125211,580,0.97068965517241379310,0.08477508650519031142,4.3408304498269896,0.99655172413793103448,17,0,t,t,f,t
sports_leisure,MG,sports_leisure × MG,Defend,3,high,medium,195,440,24453.59,61640.37,37186.78,1.5207084113212007,0.00880229435442704353,146,11,0.15221842438648567489,0.94544030154264161620,0.15061781710364894545,440,0.95000000000000000000,0.11161731207289293850,4.2164009111617312,0.99772727272727272727,22,0,t,t,f,f
