dimension_type,dimension_value,prior_orders,current_orders,prior_gmv,current_gmv,gmv_change,gmv_growth_rate,contribution_to_market_change,comparison_confidence,growth_rank
Category,health_beauty,1682,5305,243521.70,755724.50,512202.80,2.1033148175296082,0.12124093064152701819,high,1
Category,watches_gifts,783,3418,201137.86,687855.20,486717.34,2.4198196202345993,0.11520839648078558694,high,2
Category,sports_leisure,1742,3973,216724.33,517166.26,300441.93,1.3862861174839022,0.07111608760619136696,high,3
Category,computers_accessories,1402,3972,214631.27,496269.30,281638.03,1.3121947701283229,0.06666511167304494547,high,4
Category,bed_bath_table,2245,4844,254444.82,532358.85,277914.03,1.0922369337288926,0.06578362249393650128,high,5
Category,housewares,1390,3351,127534.54,391823.46,264288.92,2.0722928863035849,0.06255849171274362965,high,6
Category,auto,677,2419,125247.48,343288.30,218040.82,1.7408798963460183,0.05161133819385930163,high,7
Category,furniture_decor,1735,3147,170858.58,381649.57,210790.99,1.2337161528557711,0.04989526765267354118,high,8
Category,baby,559,1627,67998.26,250615.79,182617.53,2.6856206320573497,0.04322647062580872164,high,9
Category,construction_tools_construction,20,636,2581.49,122886.61,120305.12,46.6029773502899488,0.02847681564751419732,insufficient,10
Category,telephony,1009,2117,57472.64,174123.68,116651.04,2.0296795135911627,0.02761187687748289127,high,11
Category,stationery,361,1367,36724.96,132315.75,95590.79,2.6028834340459459,0.02262681176354126622,medium,12
Category,pet_shop,405,1002,49083.29,126849.64,77766.35,1.5843752527591366,0.01840767884633726061,high,13
Category,home_appliances_2,46,145,10473.93,86902.86,76428.93,7.2970632799722740,0.01809110493174993102,exploratory,14
Category,garden_tools,872,1509,138051.15,212186.20,74135.05,0.53701146278028107698,0.01754813221473240203,high,15
Category,electronics,338,1706,28973.43,99735.60,70762.17,2.4423124911341184,0.01674975487251132544,medium,16
Category,musical_instruments,118,370,37051.41,105827.28,68775.87,1.8562281435443348,0.01627958785949760291,medium,17
Category,office_furniture,394,636,74662.01,140578.35,65916.34,0.88286318570850155253,0.01560272299581984528,medium,18
Category,perfumery,780,1458,121953.36,174372.00,52418.64,0.42982530370626934756,0.01240775079043529988,high,19
Category,home_construction,24,373,6721.45,57665.12,50943.67,7.5792678663086090,0.01205861811199556252,insufficient,20
Category,toys,1011,1378,118449.64,168123.27,49673.63,0.41936497232072634412,0.01175799337594967411,high,21
Category,small_appliances_home_oven_and_coffee,2,69,93.80,45854.77,45760.97,487.8568230277185501,0.01083184744374493586,insufficient,22
Category,home_appliances,174,515,13566.92,55760.75,42193.83,3.1100522447246685,0.00998748780078980815,medium,23
Category,agro_industry_and_commerce,18,129,4610.74,41386.90,36776.16,7.9761947106104443,0.00870509857388850718,insufficient,24
Category,construction_tools_lights,3,225,949.00,35903.52,34954.52,36.8330031612223393,0.00827390739552354846,insufficient,25
Category,fashion_bags_accessories,497,820,37140.77,69592.43,32451.66,0.87374763635756609246,0.00768146808112414980,high,26
Category,construction_tools_safety,2,125,387.90,30926.32,30538.42,78.7275586491363754,0.00722859473068445062,insufficient,27
Category,industry_commerce_and_business,12,195,2356.63,29482.54,27125.91,11.5104662165889427,0.00642083677187688970,insufficient,28
