purchase_month,delivered_orders,delivered_customers,delivered_gmv_proxy,delivered_aov_proxy,active_sellers,on_time_eligible_orders,on_time_orders,on_time_rate,reviewed_orders,low_review_orders,low_review_rate,average_review_score,review_coverage,freight_burden
2017-01-01,750,718,111798.36,149.0644800000000000,219,750,728,0.97066666666666666667,741,89,0.12010796221322537112,4.1983805668016194,0.98800000000000000000,0.12302885489185681126
2017-02-01,1653,1630,234223.40,141.6959467634603751,402,1653,1604,0.97035692679975801573,1643,182,0.11077297626293365794,4.2032866707242848,0.99395039322444041137,0.13646959445260370067
2017-03-01,2546,2508,359198.85,141.0836017282010998,476,2546,2430,0.95443833464257659073,2527,284,0.11238622872971903443,4.1867827463395330,0.99253731343283582090,0.13306295366059426649
2017-04-01,2303,2274,340669.68,147.9243074250976987,488,2303,2152,0.93443334780720798958,2290,296,0.12925764192139737991,4.1353711790393013,0.99435518888406426400,0.12830381021687131729
2017-05-01,3546,3479,489338.25,137.9972504230118443,563,3545,3439,0.97009873060648801128,3518,354,0.10062535531552018192,4.2364980102330870,0.99210377890580936266,0.13674333343800509269
2017-06-01,3135,3076,421923.37,134.5848070175438596,519,3135,3040,0.96969696969696969697,3111,334,0.10736097717775634844,4.2227579556412729,0.99234449760765550239,0.13902040314753767046
2017-07-01,3872,3802,481604.52,124.3813326446280992,593,3872,3764,0.97210743801652892562,3842,382,0.09942738157209786569,4.2595002602811036,0.99225206611570247934,0.14955800387314773670
2017-08-01,4193,4114,554699.70,132.2918435487717625,683,4193,4071,0.97090388743143334128,4165,391,0.09387755102040816327,4.3128451380552221,0.99332220367278797997,0.14110884750339855996
2017-09-01,4150,4083,607399.67,146.3613662650602410,711,4150,3968,0.95614457831325301205,4118,423,0.10271976687712481787,4.2678484701311316,0.99228915662650602410,0.13361978003316010046
2017-10-01,4478,4417,648247.65,144.7627623939258598,762,4478,4291,0.95824028584189370255,4446,492,0.11066126855600539811,4.2049032838506523,0.99285395265743635552,0.13695517293637112545
2017-11-01,7289,7183,987765.37,135.5145246261489916,937,7288,6384,0.87596048298572996707,7238,1199,0.16565349544072948328,3.9889472229897762,0.99300315543970366305,0.14357895797355249972
2017-12-01,5513,5450,726033.19,131.6947560311989842,846,5513,5102,0.92544893887175766370,5461,788,0.14429591649880974181,4.0884453396813770,0.99056774895701070198,0.13883064169520958724
2018-01-01,7069,6974,924645.00,130.8028009619465271,956,7069,6666,0.94299052199745367096,7013,961,0.13703122771994866676,4.1085127620134037,0.99207808742396378554,0.14216925763288868766
2018-02-01,6555,6400,826437.13,126.0773653699466056,928,6555,5629,0.85873379099923722349,6507,1261,0.19379130167511910250,3.8805901337021669,0.99267734553775743707,0.14462414476995785859
2018-03-01,7003,6914,953356.25,136.1354062544623733,981,7003,5675,0.81036698557760959589,6948,1471,0.21171560161197466897,3.8126079447322971,0.99214622304726545766,0.14924348801404506936
2018-04-01,6798,6744,973534.09,143.2088982053545160,1105,6798,6492,0.95498676081200353045,6752,796,0.11789099526066350711,4.2058649289099526,0.99323330391291556340,0.14065478294313409112
2018-05-01,6749,6693,977544.69,144.8428937620388206,1105,6749,6306,0.93436064602163283449,6722,723,0.10755727462064861648,4.2363879797679262,0.99599940731960290413,0.13397700543417652624
2018-06-01,6099,6061,856077.86,140.3636432202000328,1165,6096,6025,0.98835301837270341207,6075,607,0.09991769547325102881,4.3069958847736626,0.99606492867683226758,0.15405511317836670192
2018-07-01,6159,6100,867953.46,140.9244130540672187,1238,6156,5948,0.96621182586094866797,6121,592,0.09671622283940532593,4.3177585361868976,0.99383016723494073713,0.15552898204807422652
2018-08-01,6351,6310,838576.64,132.0385199181231302,1261,6351,5958,0.93811998110533774209,6330,604,0.09541864139020537125,4.3102685624012638,0.99669343410486537553,0.14907787548557996900
