seller_state,customer_state,route_label,action_posture,likely_investigation_owner,delivered_orders,delivered_gmv_proxy,on_time_eligible_orders,on_time_orders,late_orders,late_rate,median_late_days,p90_late_days,median_handling_hours,p90_handling_hours,median_carrier_hours,p90_carrier_hours,freight_burden,current_confidence
SP,RJ,SP → RJ,Fix route,Promise-setting and mix diagnosis,4155,514114.29,4155,3502,653,0.15716004813477737665,10,31.800000000000015,41.297222222222224,139.94555555555556,222.71972222222223,696.5025,0.16499173200750937584,high
SP,BA,SP → BA,Fix route,Logistics/carrier diagnosis,1269,173343.79,1269,1082,187,0.14736012608353033885,7,18.400000000000006,41.4275,137.12144444444448,339.6972222222222,689.2199444444445,0.17685911615957282325,high
SP,ES,SP → ES,Fix route,Promise-setting and mix diagnosis,792,107678.59,792,670,122,0.15404040404040404040,7,20.900000000000002,42.95847222222223,132.79722222222222,248.2013888888889,551.6814444444445,0.14717275909936525791,high
PR,RJ,PR → RJ,Fix route,Promise-setting and mix diagnosis,596,85823.58,596,510,86,0.14429530201342281879,11.5,29,42.58611111111111,171.3487777777778,246.07208333333332,764.2286111111111,0.15836197516025955340,high
SP,CE,SP → CE,Fix route,Logistics/carrier diagnosis,491,74555.92,491,391,100,0.20366598778004073320,10,36,38.7675,125.66766666666666,392.76444444444445,834.2227777777778,0.19285988337399567481,high
SP,PA,SP → PA,Fix route,Logistics/carrier diagnosis,336,57455.80,336,278,58,0.17261904761904761905,9.5,23.200000000000006,41.29388888888889,134.85555555555555,457.83833333333337,997.0901388888891,0.17659489792598815477,medium
SP,MS,SP → MS,Fix route,Seller-management diagnosis,298,39769.05,298,244,54,0.18120805369127516779,7,21.500000000000007,44.64208333333333,146.08908333333335,269.31333333333333,585.1666111111113,0.16585459472611187086,medium
SC,RJ,SC → RJ,Fix route,Promise-setting and mix diagnosis,207,32119.86,207,182,25,0.12077294685990338164,18,45.400000000000006,42.105694444444445,150.72833333333335,228.06527777777777,647.7660555555556,0.16001145443918359662,medium
SP,MA,SP → MA,Fix route,Joint seller and logistics diagnosis,228,31083.03,228,179,49,0.21491228070175438596,8,20.6,45.022083333333335,133.00722222222223,409.3331944444444,743.6570833333334,0.24866535075060876829,medium
SP,PI,SP → PI,Fix route,Joint seller and logistics diagnosis,166,25293.16,166,133,33,0.19879518072289156627,7,17,44.968333333333334,125.52722222222222,332.9484722222222,671.0631944444444,0.22595472783420791460,medium
SP,TO,SP → TO,Fix route,Joint seller and logistics diagnosis,107,18534.39,107,89,18,0.16822429906542056075,6,9,52.713055555555556,144.3778888888889,326.48083333333335,594.39,0.21977972943335243080,medium
SP,AL,SP → AL,Fix route,Joint seller and logistics diagnosis,124,18005.76,124,95,29,0.23387096774193548387,6,15.200000000000001,47.201388888888886,148.54686111111113,432.48625000000004,854.7174444444445,0.21204864830802192955,medium
MA,SP,MA → SP,Fix route,Seller-management diagnosis,124,11545.70,124,99,25,0.20161290322580645161,7,15.600000000000001,63.65777777777778,316.62794444444444,216.03763888888886,355.5847222222223,0.26647395171537484117,medium
SP,SP,SP → SP,Defend route,Routine monitoring,17995,2052562.48,17991,17070,921,0.05119226279806569952,4,14,39.287222222222226,136.36350000000004,76.19027777777778,217.61111111111111,0.11715420436608130302,high
SP,MG,SP → MG,Defend route,Routine monitoring,3941,502322.83,3941,3644,297,0.07536158335447855874,6,17,42.26347222222222,139.7687777777778,173.48944444444444,414.18888888888887,0.15982596827621619407,high
