seller_id,action_posture,action_sort,current_confidence,growth_confidence,prior_orders,current_orders,prior_gmv,current_gmv,gmv_change,gmv_growth_rate,contribution_to_market_change,current_state_reach,current_categories,current_top_category_share,current_freight_burden,current_on_time_eligible_orders,current_on_time_rate,current_median_handling_hours,current_p90_handling_hours,current_low_review_rate,current_average_review_score,current_review_coverage,observed_late_orders,excess_late_orders_to_peer_median_scenario,is_high_commercial_scale,passes_strong_execution,fails_execution_guardrail,has_operating_or_concentration_signal
4869f7a5dfa277a7dca6462dcf3b52b2,Fix before growth,1,high,medium,111,716,25411.93,136164.90,110752.97,4.3583061184254797,0.02621577459965685974,25,8,0.85761675732879765637,0.08556735931416796441,716,0.88687150837988826816,42.99972222222222,98.67069444444445,0.14064697609001406470,4.1251758087201125,0.99301675977653631285,81,30,t,f,t,f
7d13fca15225358621be4086e1eb0964,Fix before growth,1,high,insufficient,0,558,0,112436.18,112436.18,,0.02661419871382633459,24,7,0.79084223601335442026,0.07027185880088613280,558,0.88530465949820788530,75.01611111111112,150.1868888888889,0.17117117117117117117,4.0414414414414414,0.99462365591397849462,64,24,t,f,t,t
1025f0e2d44d7041d6cf58b6550e0bfa,Fix before growth,1,high,exploratory,31,677,4936.40,104973.71,100037.31,20.2652357993679605,0.02367932499251260866,25,4,0.77127511259723982319,0.19430024989855234756,677,0.93943870014771048744,69.48138888888889,142.44044444444444,0.16840536512667660209,4.0104321907600596,0.99113737075332348597,41,0,t,f,t,t
fa1c13f2614d7b5c4749cbc52fecda94,Fix before growth,1,medium,medium,114,293,41361.49,93687.82,52326.33,1.2650977999100129,0.01238590055785648665,24,4,0.98964977517888664717,0.05414039007394716531,293,0.87372013651877133106,48.90277777777777,103.92158333333333,0.13840830449826989619,4.2006920415224913,0.98634812286689419795,37,16,t,f,t,f
7c67e1448b00f6e969d365cea6b010ab,Fix before growth,1,high,medium,315,478,55253.00,91763.03,36510.03,0.66077914321394313431,0.00864210428945345609,23,6,0.90372876745678515629,0.23049005330542079047,478,0.92050209205020920502,330.3426388888889,449.29858333333334,0.27695560253699788584,3.4270613107822410,0.98953974895397489540,38,4,t,f,t,t
4a3ca9315b744ce9f8e9374361493884,Fix before growth,1,high,high,624,675,70531.09,71754.25,1223.16,0.01734213947352862404,0.00028952800867837932,22,6,0.83962496994951518551,0.16687092117486651276,675,0.88740740740740740741,27.49041666666667,90.12361111111112,0.19436201780415430267,3.8560830860534125,0.99851851851851851852,76,28,t,f,t,f
f7ba60f8c3f99e7ee4042fdef03b70c4,Fix before growth,1,medium,insufficient,7,175,1966.00,56043.00,54077.00,27.5061037639877925,0.01280029278696222778,20,2,0.95888871045447245865,0.05944464891421516922,175,0.85714285714285714286,42.388333333333335,92.44938888888889,0.09714285714285714286,4.2400000000000000,1.00000000000000000000,25,13,t,f,t,f
620c87c171fb2a6dd6e8bb4dec959fc6,Fix before growth,1,medium,medium,197,360,37808.20,47849.00,10040.80,0.26557201876841531731,0.00237670691449840666,19,2,0.54660912453760789149,0.13079446138285225995,360,0.87222222222222222222,32.88138888888889,119.44230555555558,0.16806722689075630252,4.1288515406162465,0.99166666666666666667,46,20,t,f,t,f
2eb70248d66e0e3ef83659f71b244378,Fix before growth,1,medium,insufficient,0,187,0,38990.72,38990.72,,0.00922929585543694868,21,11,0.60478442049800567930,0.07268127628474318930,187,0.88770053475935828877,232.78444444444443,496.33922222222225,0.47282608695652173913,2.7934782608695652,0.98395721925133689840,21,8,t,f,t,t
06a2c3af7b3aee5d69171b0e14f0ee87,Fix before growth,1,medium,insufficient,0,389,0,36097.98,36097.98,,0.00854457002085742107,25,1,1.00000000000000000000,0.25060505091396007847,389,0.80976863753213367609,56.2625,279.10561111111116,0.16103896103896103896,4.0129870129870130,0.98971722365038560411,74,46,t,f,t,t
d91fb3b7d041e83b64a00a3edfb37e4f,Grow,2,medium,medium,132,369,13603.12,24997.52,11394.40,0.83763136692170619681,0.00269711071493911290,22,5,0.95139157804454201857,0.20458079635725502238,369,0.96205962059620596206,45.245555555555555,117.009,0.13387978142076502732,4.1584699453551913,0.99186991869918699187,14,0,f,t,f,f
e9779976487b77c6d4ac45f75ec7afe9,Grow,2,high,medium,102,416,6800.08,24981.22,18181.14,2.6736656039340714,0.00430356556763042399,21,8,0.49571277943991526435,0.21183875222941250149,416,0.93269230769230769231,42.00402777777778,113.39644444444446,0.11835748792270531401,4.2149758454106280,0.99519230769230769231,28,0,f,t,f,f
7299e27ed73d2ad986de7f7c77d919fa,Grow,2,medium,medium,118,129,5410.93,18173.83,12762.90,2.3587257643325639,0.00302104141891599417,16,7,0.55499198572893000540,0.14063965114580087374,129,0.94573643410852713178,16.73,46.406555555555556,0.06976744186046511628,4.4186046511627907,1.00000000000000000000,7,0,f,t,f,f
955fee9216a65b617aa5c0531780ce60,Defend,3,high,insufficient,28,1082,2715.77,114280.86,111565.09,41.0804633676636829,0.02640800741172387094,26,20,0.25812983906491428223,0.15563081690847647776,1082,0.93530499075785582255,29.13527777777778,85.65541666666667,0.10501858736059479554,4.2007434944237918,0.99445471349353049908,70,0,t,t,f,f
da8622b14eb17ae2831f4ac5b9dab84a,Defend,3,high,medium,199,774,27741.40,89270.57,61529.17,2.2179547535452429,0.01456425820475937453,17,3,0.92524781683370006487,0.13430728879128560317,774,0.92894056847545219638,36.350833333333334,87.36766666666668,0.10663198959687906372,4.2418725617685306,0.99354005167958656331,55,0,t,t,f,f
a1043bafd471dff536d0c462352beb48,Defend,3,high,exploratory,71,412,9599.30,59465.06,49865.76,5.1947287823070432,0.01180347149517150692,18,2,0.53395187022429641877,0.23824260382544916612,412,0.94417475728155339806,28.223333333333333,73.54277777777777,0.08292682926829268293,4.3048780487804878,0.99514563106796116505,23,0,t,t,f,f
de722cd6dad950a92b7d4f82673f8833,Defend,3,medium,insufficient,0,337,0,55126.30,55126.30,,0.01304866727558695670,24,2,0.94143811574511621495,0.14897804901431211492,337,0.96439169139465875371,28.676666666666666,77.21266666666669,0.09226190476190476190,4.3035714285714286,0.99703264094955489614,12,0,t,t,f,f
ceaec5548eefc6e23e6607c5435102e7,Defend,3,medium,insufficient,0,198,0,51478.18,51478.18,,0.01218513926697012066,22,7,0.82895762826113899132,0.10711449198516730834,198,0.94949494949494949495,53.69638888888889,121.0201111111111,0.11282051282051282051,4.2000000000000000,0.98484848484848484848,10,0,t,t,f,f
3d871de0142ce09b7081e2b9d1733cb1,Defend,3,high,medium,232,447,17855.10,40350.10,22495.00,1.2598641284562954,0.00532467751988304296,21,5,0.86866947045980059529,0.19047341037760359457,447,0.94630872483221476510,83.37805555555556,158.34044444444444,0.09706546275395033860,4.1828442437923251,0.99105145413870246085,24,0,t,t,f,t
c70c1b0d8ca86052f45a432a38b73958,Defend,3,medium,insufficient,0,260,0,36289.15,36289.15,,0.00858982090334135267,15,1,1.00000000000000000000,0.09707279520364981229,260,0.94615384615384615385,65.82,148.054,0.08914728682170542636,4.3682170542635659,0.99230769230769230769,14,0,t,t,f,t
edb1ef5e36e0c8cd84eb3c9b003e486d,Investigate,4,medium,insufficient,0,126,0,60715.90,60715.90,,0.01437175318201675251,16,1,1.00000000000000000000,0.04785405339371525558,126,0.90476190476190476190,25.764444444444443,66.47069444444445,0.08730158730158730159,4.4047619047619048,1.00000000000000000000,12,3,t,f,f,t
c826c40d7b19f62a09e2d7c5e7295ee2,Investigate,4,medium,insufficient,1,256,99.77,33636.03,33536.26,336.1357121379172096,0.00793819825396545446,21,2,0.99670680517290536368,0.10954003267346627038,256,0.91015625000000000000,44.23277777777778,121.74566666666668,0.14117647058823529412,4.1686274509803922,0.99609375000000000000,23,5,t,f,f,t
4d6d651bd7684af3fffabd5f08d12e5a,Investigate,4,medium,exploratory,61,232,5951.50,30395.70,24444.20,4.1072334705536419,0.00578606277979662497,18,2,0.96452129742035880075,0.14795547661816053444,232,0.96120689655172413793,81.84402777777777,165.56966666666668,0.11637931034482758621,4.2284482758620690,1.00000000000000000000,9,0,f,t,f,t
