category_label,gmv_change,contribution_to_market_change,comparison_confidence,growth_rank
Health & beauty,512202.80,0.12124093064152701819,high,1
Watches & gifts,486717.34,0.11520839648078558694,high,2
Sports & leisure,300441.93,0.07111608760619136696,high,3
Computers & accessories,281638.03,0.06666511167304494547,high,4
Bed / bath / table,277914.03,0.06578362249393650128,high,5
Housewares,264288.92,0.06255849171274362965,high,6
Auto,218040.82,0.05161133819385930163,high,7
Furniture decor,210790.99,0.04989526765267354118,high,8
Baby,182617.53,0.04322647062580872164,high,9
Construction tools,120305.12,0.02847681564751419732,insufficient,10
